gameId,nationality,teamId,shortCode,ID,AS,BS,DR,OR,REB,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FGP,FTA,FTM,FTP,FGIA,FGIM,FGIP,PF,PTS,ST,TO,10+ ppg,MP,opp_gameId,opp_nationality,opp_teamId,opp_shortCode,opp_ID,opp_AS,opp_BS,opp_DR,opp_OR,opp_REB,opp_FD,opp_FG2A,opp_FG2M,opp_FG2P,opp_FG3A,opp_FG3M,opp_FG3P,opp_FGA,opp_FGM,opp_FGP,opp_FTA,opp_FTM,opp_FTP,opp_FGIA,opp_FGIM,opp_FGIP,opp_PF,opp_PTS,opp_ST,opp_TO,opp_10+ ppg,opp_MP
121443,Brazil,27,BRA,1,24,2,32,25,57,14,50,28,56.0,34,6,17.7,84,34,40.5,16,10,62.5,41,26,63.4,12,84,9,11,3,200.0,121443,Mexico,104,MEX,1,15,2,27,10,37,12,42,15,35.7,23,7,30.4,65,22,33.9,13,10,76.9,27,11,40.7,15,61,9,16,2,200.0
121443,Mexico,104,MEX,2,15,2,27,10,37,12,42,15,35.7,23,7,30.4,65,22,33.9,13,10,76.9,27,11,40.7,15,61,9,16,2,200.0,121443,Brazil,27,BRA,2,24,2,32,25,57,14,50,28,56.0,34,6,17.7,84,34,40.5,16,10,62.5,41,26,63.4,12,84,9,11,3,200.0
121444,Puerto Rico,125,PUR,1,9,3,34,16,50,16,30,7,23.3,32,8,25.0,62,15,24.2,18,13,72.2,14,4,28.6,14,51,6,14,3,200.0,121444,Argentina,14,ARG,1,13,2,32,8,40,14,34,15,44.1,28,5,17.9,62,20,32.3,12,8,66.7,22,13,59.1,16,53,9,9,3,200.0
121444,Argentina,14,ARG,2,13,2,32,8,40,14,34,15,44.1,28,5,17.9,62,20,32.3,12,8,66.7,22,13,59.1,16,53,9,9,3,200.0,121444,Puerto Rico,125,PUR,2,9,3,34,16,50,16,30,7,23.3,32,8,25.0,62,15,24.2,18,13,72.2,14,4,28.6,14,51,6,14,3,200.0
121445,USA,154,USA,1,32,7,28,29,57,22,64,32,50.0,23,10,43.5,87,42,48.3,22,16,72.7,55,27,49.1,13,110,31,24,6,200.0,121445,Dominican Republic,51,DOM,1,12,4,19,13,32,13,40,15,37.5,17,3,17.7,57,18,31.6,14,5,35.7,29,10,34.5,22,44,13,40,1,200.0
121445,Dominican Republic,51,DOM,2,12,4,19,13,32,13,40,15,37.5,17,3,17.7,57,18,31.6,14,5,35.7,29,10,34.5,22,44,13,40,1,200.0,121445,USA,154,USA,2,32,7,28,29,57,22,64,32,50.0,23,10,43.5,87,42,48.3,22,16,72.7,55,27,49.1,13,110,31,24,6,200.0
121446,Canada,34,CAN,1,19,5,34,12,46,17,44,20,45.5,17,4,23.5,61,24,39.3,25,21,84.0,36,17,47.2,17,73,12,15,2,200.0,121446,Colombia,40,COL,1,12,1,25,7,32,17,40,13,32.5,18,5,27.8,58,18,31.0,14,8,57.1,29,12,41.4,17,49,8,18,1,200.0
121446,Colombia,40,COL,2,12,1,25,7,32,17,40,13,32.5,18,5,27.8,58,18,31.0,14,8,57.1,29,12,41.4,17,49,8,18,1,200.0,121446,Canada,34,CAN,2,19,5,34,12,46,17,44,20,45.5,17,4,23.5,61,24,39.3,25,21,84.0,36,17,47.2,17,73,12,15,2,200.0
126786,Mexico,104,MEX,1,16,3,31,14,45,18,40,14,35.0,26,8,30.8,66,22,33.3,16,15,93.8,27,10,37.0,22,67,6,17,1,200.0,126786,Puerto Rico,125,PUR,1,19,2,30,9,39,21,26,12,46.2,36,10,27.8,62,22,35.5,23,18,78.3,20,9,45.0,19,72,10,11,4,200.0
126786,Puerto Rico,125,PUR,2,19,2,30,9,39,21,26,12,46.2,36,10,27.8,62,22,35.5,23,18,78.3,20,9,45.0,19,72,10,11,4,200.0,126786,Mexico,104,MEX,2,16,3,31,14,45,18,40,14,35.0,26,8,30.8,66,22,33.3,16,15,93.8,27,10,37.0,22,67,6,17,1,200.0
