date,award,emoji,desc,name,team,gameId,stat_val
2025-07-04,LVP,💀,Lowest total Net Pts,Madelyn  Batista,DOM,121445,-43.0
2025-07-04,Heater,🔥,Highest Offensive Net Pts,Hannah Hidalgo,USA,121445,14.8
2025-07-04,Off Night,🌑,Lowest Offensive Net Pts,Madelyn  Batista,DOM,121445,-30.0
2025-07-04,Stopper,🛡️,Highest Defensive Net Pts,Hannah Hidalgo,USA,121445,34.2
2025-07-04,BBQ,🔥🥩,Lowest Defensive Net Pts,Madelyn  Batista,DOM,121445,-13.0
2025-07-04,Spark Plug,⚡,Best Net Pts off bench,Hannah Hidalgo,USA,121445,49.0
2025-07-04,Ice Cold,🧊,Lowest FG% (min 4 att),Katia Gallegos,MEX,121443,0.0
2025-07-04,Rain Maker,🌧️,Most above-break 3s made,Bella Nascimento,BRA,121443,3.0
2025-07-04,Corner Pocket,📐,Most corner 3s made,Damiris Dantas,BRA,121443,2.0
2025-07-04,Juggernaut,🚂,Most shots made at rim,Kamilla Cardoso,BRA,121443,7.0
2025-07-04,Surgical,🔬,Most mid-range makes,Damiris Dantas,BRA,121443,2.0
2025-07-04,Speed Demon,💨,Most fast-break points,Hannah Stuelke,USA,121445,6.0
2025-07-04,Glass Cleaner,🪟,Most total rebounds,Kamilla Cardoso,BRA,121443,20.0
2025-07-04,Ball Hawk,🦅,Most steals,Madison Booker,USA,121445,6.0
2025-07-04,Cleanup Crew,🧹,Most putback points,Kamilla Cardoso,BRA,121443,8.0
2025-07-04,Contact Artist,🎯,Most fouls drawn,Kamilla Cardoso,BRA,121443,6.0
2025-07-04,Hacker,🪓,Most personal fouls committed,Hellary De Los Santos,DOM,121445,5.0
2025-07-04,Facilitator,🎁,Most assists,Hannah Hidalgo,USA,121445,9.0
2025-07-04,Hot Potato,🥔,Most turnovers,Cesarina Capellan,DOM,121445,7.0
2025-07-05,MVP,🏆,Highest total Net Pts,Bella Nascimento,BRA,126788,33.0
2025-07-05,LVP,💀,Lowest total Net Pts,Melisa Gretter,ARG,126788,-32.0
2025-07-05,Heater,🔥,Highest Offensive Net Pts,Bella Nascimento,BRA,126788,29.5
2025-07-05,Off Night,🌑,Lowest Offensive Net Pts,Yohanna Morton,DOM,126787,-21.6
2025-07-05,Stopper,🛡️,Highest Defensive Net Pts,Jenifer Muñoz,COL,126787,22.4
2025-07-05,BBQ,🔥🥩,Lowest Defensive Net Pts,Melisa Gretter,ARG,126788,-28.6
2025-07-05,Spark Plug,⚡,Best Net Pts off bench,Thayna Silva,BRA,126788,22.0
