date,award,emoji,desc,name,team,gameId,stat_val
2026-03-17,Spark Plug,⚡,Best Net Pts off bench,Mai Yamamoto,JPN,128114,32.0
2026-03-17,Ice Cold,🧊,Lowest FG% (min 4 att),Candela Gentinetta,ARG,128114,0.0
2026-03-17,Rain Maker,🌧️,Most above-break 3s made,Aika Hirashita,JPN,128114,4.0
2026-03-17,Corner Pocket,📐,Most corner 3s made,Debora Dubei,HUN,128113,2.0
2026-03-17,Juggernaut,🚂,Most shots made at rim,Dorka Juhasz,HUN,128113,5.0
2026-03-17,Surgical,🔬,Most mid-range makes,Bridget Carleton,CAN,128115,3.0
2026-03-17,Speed Demon,💨,Most fast-break points,Debora Dubei,HUN,128113,5.0
2026-03-17,Glass Cleaner,🪟,Most total rebounds,Kayla Alexander,CAN,128115,13.0
2026-03-17,Ball Hawk,🦅,Most steals,Reka Lelik,HUN,128113,5.0
2026-03-17,Cleanup Crew,🧹,Most putback points,Kayla Alexander,CAN,128115,4.0
2026-03-17,Contact Artist,🎯,Most fouls drawn,Dorka Juhasz,HUN,128113,7.0
2026-03-17,Hacker,🪓,Most personal fouls committed,Zeynep Gul,TUR,128113,5.0
2026-03-17,Facilitator,🎁,Most assists,Shay Colley,CAN,128115,10.0
2026-03-17,Hot Potato,🥔,Most turnovers,Zitina Aokuso,AUS,128115,6.0
