gameId,pId,PM,Starter,AS,BS,DR,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FTA,FTM,FTP,OR,PF,PTS,REB,ST,TO,EFF,FGIA,FGIM,FGIP,TP,teamId,nationality,uniformNumber,name,10+ ppg,FGP,mins,secs,MP
130908,417359,-7,False,0,0,1,3,2,2,1.0,4,2,0.5,6,4,4,1,0.25,2,4,11,3,1,4,6,2,2,100.0,14:0,104,Mexico,2.0,Julieta Cruz,1,0.667,14,0,14.0
130908,404679,-7,False,0,1,1,1,4,2,0.5,1,0,0.0,5,2,0,0,,2,0,4,3,0,2,3,3,1,33.3,14:6,120,Paraguay,3.0,Maria Franco,0,0.4,14,6,14.1
130908,404680,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,120,Paraguay,1.0,Maria Morel,0,,0,0,0.0
130908,332689,-13,True,1,0,4,2,6,3,0.5,6,0,0.0,12,3,0,0,,2,3,6,6,1,3,2,6,3,50.0,27:26,120,Paraguay,4.0,Bethsaida Ferreira,0,0.25,27,26,27.4
130908,332697,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,120,Paraguay,6.0,Micaela Gimenez,0,,0,0,0.0
130908,404678,-16,True,2,0,1,2,6,1,0.167,9,2,0.222,15,3,2,1,0.5,1,2,9,2,1,2,-1,6,1,16.7,37:39,120,Paraguay,8.0,Sofia Vigna,0,0.2,37,39,37.6
130908,404676,-12,False,2,1,2,2,8,3,0.375,5,3,0.6,13,6,2,1,0.5,1,4,16,3,4,3,15,6,2,33.3,18:15,120,Paraguay,9.0,Giovana Gonzalez,1,0.462,18,15,18.2
130908,404677,0,False,0,2,0,1,2,2,1.0,0,0,,2,2,0,0,,1,1,4,1,0,0,7,1,1,100.0,12:46,120,Paraguay,10.0,Agustina Fernandez,0,1.0,12,46,12.8
130908,369707,-15,True,4,0,2,1,5,4,0.8,4,1,0.25,9,5,0,0,,3,1,11,5,2,5,13,5,4,80.0,27:19,120,Paraguay,11.0,Karin Caceres,1,0.556,27,19,27.3
130908,404673,0,False,0,0,0,1,0,0,,1,1,1.0,1,1,2,0,0.0,0,0,3,0,0,0,1,0,0,0.0,1:28,120,Paraguay,12.0,Luján Fernandez,0,1.0,1,28,1.5
130908,332696,-14,True,0,0,3,2,3,2,0.667,0,0,,3,2,4,1,0.25,5,1,5,8,2,0,11,3,2,66.7,26:33,120,Paraguay,13.0,Sofia Gomez,0,0.667,26,33,26.6
130908,404675,0,False,0,0,0,0,1,0,0.0,2,1,0.5,3,1,0,0,,0,4,3,0,0,0,1,1,0,0.0,7:17,120,Paraguay,15.0,Maria Montañez,0,0.333,7,17,7.3
130908,332693,-2,True,8,0,5,5,4,2,0.5,7,0,0.0,11,2,8,2,0.25,1,5,6,6,3,4,4,4,2,50.0,26:49,120,Paraguay,33.0,Gilda Duarte,0,0.182,26,49,26.8
130909,369985,-39,True,0,0,3,2,1,0,0.0,0,0,,1,0,2,1,0.5,2,5,1,5,1,1,4,1,0,0.0,15:32,14,Argentina,17.0,Matilda Campo,0,0.0,15,32,15.5
130909,328246,-40,True,0,0,1,3,1,0,0.0,0,0,,1,0,4,0,0.0,2,4,0,3,2,3,-3,1,0,0.0,16:38,14,Argentina,15.0,Renata Scordo,0,0.0,16,38,16.6
130909,342299,-38,True,1,0,1,5,6,2,0.333,3,1,0.333,9,3,6,5,0.833,1,3,12,2,0,4,4,6,2,33.3,21:8,14,Argentina,14.0,Sofia Novoa,1,0.333,21,8,21.1
130909,381051,-7,False,0,0,1,1,1,0,0.0,1,1,1.0,2,1,0,0,,0,0,3,1,0,3,0,1,0,0.0,3:2,14,Argentina,13.0,Venetia Oliva,0,0.5,3,2,3.0
130909,401376,-36,False,0,1,4,0,4,1,0.25,0,0,,4,1,0,0,,3,2,2,7,1,7,1,4,1,25.0,23:37,14,Argentina,12.0,Sol Lemesoff,0,0.25,23,37,23.6
130909,401377,-39,True,0,0,2,4,5,1,0.2,5,0,0.0,10,1,6,6,1.0,1,2,8,3,2,3,1,5,1,20.0,21:30,14,Argentina,11.0,Sofia Lombardero,0,0.1,21,30,21.5
130909,416711,-15,False,0,0,0,3,1,0,0.0,3,0,0.0,4,0,2,0,0.0,0,2,0,0,1,1,-6,1,0,0.0,16:25,14,Argentina,10.0,Celina Novatti,0,0.0,16,25,16.4
130909,381050,-30,False,2,1,1,5,15,3,0.2,2,0,0.0,17,3,8,8,1.0,1,2,14,2,0,7,-2,12,2,16.7,20:23,14,Argentina,8.0,Santina Cherot,1,0.176,20,23,20.4
130909,369987,-20,False,0,0,2,3,1,1,1.0,1,0,0.0,2,1,2,0,0.0,0,1,2,2,0,1,0,0,0,0.0,22:11,14,Argentina,6.0,Francisca Canello,0,0.5,22,11,22.2
130909,394881,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,14,Argentina,5.0,Sofia Gonzalez,0,,0,0,0.0
130909,380870,-37,False,0,0,1,1,2,0,0.0,2,0,0.0,4,0,2,2,1.0,1,1,2,2,0,2,-2,1,0,0.0,25:2,14,Argentina,3.0,Florencia Losada,0,0.0,25,2,25.0
130909,342300,-29,True,0,0,0,1,1,0,0.0,4,1,0.25,5,1,0,0,,0,4,3,0,0,3,-4,1,0,0.0,14:32,14,Argentina,55.0,Isabella Roldan,0,0.2,14,32,14.5
130909,368601,35,False,4,0,0,4,4,1,0.25,2,0,0.0,6,1,8,6,0.75,0,3,8,0,1,3,3,3,1,33.3,20:26,154,USA,4.0,GG Banks,0,0.167,20,26,20.4
130909,416363,14,False,0,0,1,2,2,0,0.0,1,0,0.0,3,0,4,4,1.0,2,0,4,3,1,1,4,0,0,0.0,16:33,154,USA,5.0,Ryan Carter,0,0.0,16,33,16.6
130909,394201,37,True,2,0,7,0,3,2,0.667,6,3,0.5,9,5,0,0,,3,1,13,10,0,0,21,2,1,50.0,17:1,154,USA,6.0,Bella Flemings,1,0.556,17,1,17.0
130909,416362,40,True,5,0,3,1,1,0,0.0,7,3,0.429,8,3,2,1,0.5,3,2,10,6,3,1,17,1,0,0.0,17:23,154,USA,7.0,Haylen Ayers,1,0.375,17,23,17.4
130909,343307,22,False,0,0,4,2,6,4,0.667,0,0,,6,4,4,4,1.0,3,2,12,7,2,3,16,5,4,80.0,21:7,154,USA,8.0,Jordyn Jackson,1,0.667,21,7,21.1
130909,343215,38,True,2,1,1,7,7,4,0.571,0,0,,7,4,12,8,0.667,5,1,16,6,7,3,22,7,4,57.1,16:46,154,USA,9.0,Jordyn Palmer,1,0.571,16,46,16.8
130909,416436,26,False,0,0,4,2,5,3,0.6,4,3,0.75,9,6,0,0,,0,3,15,4,1,1,16,4,2,50.0,21:18,154,USA,10.0,Sydney Savoury,1,0.667,21,18,21.3
130909,368602,40,True,9,0,3,2,4,1,0.25,7,2,0.286,11,3,0,0,,1,5,8,4,5,5,13,4,1,25.0,21:45,154,USA,11.0,Kaleena Smith,0,0.273,21,45,21.8
130909,416492,31,False,1,0,4,1,6,4,0.667,2,0,0.0,8,4,2,2,1.0,2,4,10,6,0,0,13,5,3,60.0,13:8,154,USA,12.0,Miciah Fusilier,1,0.5,13,8,13.1
130909,343203,3,False,0,1,3,0,5,4,0.8,0,0,,5,4,0,0,,1,0,8,4,0,1,11,5,4,80.0,12:25,154,USA,13.0,Sydney Douglas,0,0.8,12,25,12.4
130909,416364,18,False,1,0,3,1,6,2,0.333,0,0,,6,2,1,0,0.0,4,4,4,7,0,5,2,6,2,33.3,9:47,154,USA,14.0,Jayla Forbes,0,0.333,9,47,9.8
130909,343305,26,True,3,0,1,4,2,2,1.0,0,0,,2,2,2,1,0.5,2,3,5,3,1,2,9,2,2,100.0,12:21,154,USA,15.0,Kelsi Andrews,0,1.0,12,21,12.4
130902,417535,-33,False,1,1,3,2,3,1,0.333,1,0,0.0,4,1,3,1,0.333,1,2,3,4,2,2,4,3,1,33.3,19:3,51,Dominican Republic,2.0,Alyssa Lopez,0,0.25,19,3,19.0
