gameId,nationality,teamId,shortCode,ID,AS,BS,DR,OR,REB,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FGP,FTA,FTM,FTP,FGIA,FGIM,FGIP,PF,PTS,ST,TO,10+ ppg,MP,opp_gameId,opp_nationality,opp_teamId,opp_shortCode,opp_ID,opp_AS,opp_BS,opp_DR,opp_OR,opp_REB,opp_FD,opp_FG2A,opp_FG2M,opp_FG2P,opp_FG3A,opp_FG3M,opp_FG3P,opp_FGA,opp_FGM,opp_FGP,opp_FTA,opp_FTM,opp_FTP,opp_FGIA,opp_FGIM,opp_FGIP,opp_PF,opp_PTS,opp_ST,opp_TO,opp_10+ ppg,opp_MP
134675,Mexico,104,MEX,2,29,6,37,18,55,18,57,24,42.1,24,9,37.5,81,33,40.7,20,9,45.0,51,22,43.1,10,84,16,17,5,200.0,134675,Puerto Rico,125,PUR,2,13,6,34,15,49,10,53,20,37.7,22,7,31.8,75,27,36.0,10,3,30.0,46,19,41.3,18,64,12,23,2,200.0
134676,Canada,34,CAN,1,15,2,29,7,36,13,28,15,53.6,28,8,28.6,56,23,41.1,14,10,71.4,27,15,55.6,17,64,14,23,5,200.0,134676,Argentina,14,ARG,1,7,1,27,10,37,17,36,12,33.3,23,6,26.1,59,18,30.5,14,10,71.4,29,11,37.9,13,52,12,24,3,200.0
134676,Argentina,14,ARG,2,7,1,27,10,37,17,36,12,33.3,23,6,26.1,59,18,30.5,14,10,71.4,29,11,37.9,13,52,12,24,3,200.0,134676,Canada,34,CAN,2,15,2,29,7,36,13,28,15,53.6,28,8,28.6,56,23,41.1,14,10,71.4,27,15,55.6,17,64,14,23,5,200.0
134677,USA,154,USA,1,27,1,36,29,65,19,60,32,53.3,32,9,28.1,92,41,44.6,19,13,68.4,56,30,53.6,17,104,13,13,4,200.0,134677,Venezuela,158,VEN,1,6,2,25,8,33,14,32,12,37.5,28,5,17.9,60,17,28.3,23,12,52.2,18,9,50.0,19,51,8,25,1,200.0
134677,Venezuela,158,VEN,2,6,2,25,8,33,14,32,12,37.5,28,5,17.9,60,17,28.3,23,12,52.2,18,9,50.0,19,51,8,25,1,200.0,134677,USA,154,USA,2,27,1,36,29,65,19,60,32,53.3,32,9,28.1,92,41,44.6,19,13,68.4,56,30,53.6,17,104,13,13,4,200.0
134678,Dominican Republic,51,DOM,1,18,3,31,27,58,21,50,10,20.0,20,6,30.0,70,16,22.9,31,17,54.8,48,9,18.8,19,55,14,22,2,200.0,134678,Puerto Rico,125,PUR,1,14,7,32,11,43,18,35,10,28.6,23,7,30.4,58,17,29.3,25,15,60.0,31,9,29.0,22,56,12,23,2,200.0
134678,Puerto Rico,125,PUR,2,14,7,32,11,43,18,35,10,28.6,23,7,30.4,58,17,29.3,25,15,60.0,31,9,29.0,22,56,12,23,2,200.0,134678,Dominican Republic,51,DOM,2,18,3,31,27,58,21,50,10,20.0,20,6,30.0,70,16,22.9,31,17,54.8,48,9,18.8,19,55,14,22,2,200.0
134679,Paraguay,120,PAR,1,14,1,29,19,48,15,51,19,37.3,25,6,24.0,76,25,32.9,9,5,55.6,43,17,39.5,21,61,16,30,2,225.0,134679,Mexico,104,MEX,1,15,1,33,15,48,21,52,23,44.2,15,2,13.3,67,25,37.3,21,16,76.2,38,20,52.6,15,68,19,27,1,225.0
134679,Mexico,104,MEX,2,15,1,33,15,48,21,52,23,44.2,15,2,13.3,67,25,37.3,21,16,76.2,38,20,52.6,15,68,19,27,1,225.0,134679,Paraguay,120,PAR,2,14,1,29,19,48,15,51,19,37.3,25,6,24.0,76,25,32.9,9,5,55.6,43,17,39.5,21,61,16,30,2,225.0
134680,Argentina,14,ARG,1,10,4,31,26,57,17,51,20,39.2,18,5,27.8,69,25,36.2,25,18,72.0,47,18,38.3,18,73,11,16,4,200.0,134680,Venezuela,158,VEN,1,9,7,22,15,37,17,43,17,39.5,18,2,11.1,61,19,31.2,16,9,56.3,32,12,37.5,19,49,10,18,2,200.0
134680,Venezuela,158,VEN,2,9,7,22,15,37,17,43,17,39.5,18,2,11.1,61,19,31.2,16,9,56.3,32,12,37.5,19,49,10,18,2,200.0,134680,Argentina,14,ARG,2,10,4,31,26,57,17,51,20,39.2,18,5,27.8,69,25,36.2,25,18,72.0,47,18,38.3,18,73,11,16,4,200.0
134681,Canada,34,CAN,1,19,5,30,13,43,23,45,23,51.1,21,4,19.1,66,27,40.9,25,14,56.0,44,23,52.3,19,72,6,18,4,200.0,134681,USA,154,USA,1,23,4,32,18,50,19,54,22,40.7,22,8,36.4,76,30,39.5,25,22,88.0,47,22,46.8,23,90,9,13,3,200.0
134681,USA,154,USA,2,23,4,32,18,50,19,54,22,40.7,22,8,36.4,76,30,39.5,25,22,88.0,47,22,46.8,23,90,9,13,3,200.0,134681,Canada,34,CAN,2,19,5,30,13,43,23,45,23,51.1,21,4,19.1,66,27,40.9,25,14,56.0,44,23,52.3,19,72,6,18,4,200.0
